angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.03,"(328, 286, 247, 247)",0.0,0.14,0.0,0.52,0.12,0.18
0.06,"(322, 276, 259, 259)",0.0,0.32,0.01,0.24,0.18,0.2
0.04,"(325, 277, 255, 255)",0.0,0.19,0.01,0.47,0.2,0.1
0.04,"(325, 278, 257, 257)",0.0,0.24,0.01,0.36,0.25,0.1
0.08,"(328, 281, 257, 257)",0.0,0.28,0.01,0.25,0.32,0.06
0.03,"(321, 275, 261, 261)",0.0,0.23,0.01,0.4,0.23,0.11
0.04,"(320, 278, 263, 263)",0.0,0.35,0.03,0.29,0.22,0.08
0.06,"(320, 275, 263, 263)",0.0,0.25,0.02,0.31,0.23,0.13
0.06,"(320, 274, 259, 259)",0.0,0.3,0.03,0.3,0.14,0.18
0.05,"(324, 281, 265, 265)",0.0,0.38,0.01,0.32,0.12,0.13
0.02,"(322, 280, 261, 261)",0.0,0.34,0.01,0.33,0.18,0.12
0.03,"(321, 282, 262, 262)",0.0,0.37,0.01,0.42,0.08,0.08
0.05,"(325, 278, 260, 260)",0.0,0.17,0.01,0.41,0.14,0.23
0.04,"(327, 289, 263, 263)",0.0,0.23,0.03,0.35,0.1,0.24
0.03,"(323, 281, 259, 259)",0.0,0.23,0.01,0.45,0.2,0.08
0.03,"(326, 283, 254, 254)",0.0,0.19,0.01,0.47,0.07,0.23
0.03,"(326, 285, 255, 255)",0.0,0.28,0.01,0.46,0.13,0.09
0.05,"(329, 289, 259, 259)",0.01,0.27,0.04,0.3,0.16,0.18
0.03,"(328, 281, 258, 258)",0.0,0.15,0.0,0.56,0.14,0.12
0.06,"(300, 252, 296, 296)",0.0,0.23,0.04,0.32,0.32,0.04
0.05,"(298, 250, 296, 296)",0.0,0.26,0.02,0.29,0.29,0.1
0.03,"(324, 282, 258, 258)",0.0,0.22,0.01,0.45,0.23,0.05
0.04,"(322, 277, 264, 264)",0.0,0.22,0.01,0.46,0.21,0.07
